package,count
(require 'semantic/analyze/refs),216
(require 'ess),216
(require 'url-gw),215
(require 'nxml-rap),214
(require 'crm),214
(require 'arc-mode),214
(require 'cedet-global),213
(require 'image),209
(require 'cider-eldoc),209
(require 'git-commit),208
(require 'evil-search),208
(require 'skewer-mode),207
(require 'rng-uri),206
(require 'rng-pttrn),206
(require 'nxml-parse),206
(require 'edebug),204
(require 'semantic/util),203
(require 'erc-networks),203
(require 'cider-repl),201
(require 'ledger-regex),200
(require 'parse-time),199
(require 'jabber-widget),199
(require 'cogre),199
(require 'mu4e-message),198
(require 'magit-mode),198
(require 'helm-info),198
(require 'helm-external),198
(require 'srecode/find),197
(require 'dash-functional),197
(require 'subr-x),196
(require 'jabber-alert),196
(require 'cider-doc),196
(require 'wisent),195
(require 'select),195
(require 'password-cache),195
(require 'jabber-xml),195
(require 'web-mode),194
(require 'pdf-util),193
(require 'mu4e-utils),193
(require 'ghc-func),193
(require 'fontset),193
(require 'epl),193
(require 'w3m-proc),192
(require 'rdebug-vars),192
(require 'rdebug-dbg),192
(require 'let-alist),192
(require 'autorevert),192
(require 'tool-bar),191
(require 'timezone),191
(require 'srecode/map),191
(require 'pgg),191
(require 'mu4e),191
(require 'mm-view),191
(require 'smime),190
(require 'rfc2231),190
(require 'goto-addr),190
(require 'find-file),190
(require 'ess-utils),190
(require 'bbdb-com),190
(require 'ediff),189
(require 'semantic/util-modes),188
(require 'nnmh),188
(require 'nndraft),188
(require 'korea-util),188
(require 'haskell-sort-imports),188
(require 'gnus-undo),188
(require 'smartparens-config),187
(require 'semantic/db-file),187
(require 'make-mode),187
(require 'srecode/ctxt),186
(require 'geiser nil t),186
(require 'working),185
(require 'test-simple),185
(require 'semantic-symref),185
(require 'mew),185
(require 'url-methods),184
(require 'url-file),184
(require 'semantic/doc),184
(require 'ldap),184
(require 'erc-match),184
(require 'ebnf2ps),184
(require 'dframe),184
(require 'testcover),183
(require 'sb-fml),182
(require 'pcvs-info),182
(require 'lao-util),182
(require 'init-org),182
(require 'inf-ruby),182
(require 'idlwave),182
(require 'viper-init),181
(require 'semantic/db-ref),181
(require 'sb-multi),181
(require 'geiser-syntax),181
